axis_tolerance_degrees,catalog_raw_candidates_total,catalog_safe_candidates_total,catalog_wall_time,continuation_time,evaluated_transitions,failure_pose_index,failure_progress,lift_found,max_active_branches,max_candidates,orientation_cone_samples,placement_id,provisional_failure_category,q_interpolation_step_rad,random_restarts,sigma_safe,skeleton_id,stage,strict_kinematics_pass,task_edge_samples,wall_time
10.0,1934,1928,21.26458554714918,1.890149138867855,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S00,default,,7,2.062902607023716
10.0,1934,1928,21.26458554714918,1.8789957612752914,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S01,default,,7,1.9449570029973984
10.0,1934,1928,21.26458554714918,1.879827506840229,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S02,default,,7,1.9180286079645157
10.0,1934,1928,21.26458554714918,1.8682666197419167,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S03,default,,7,1.9067023247480392
10.0,1934,1928,21.26458554714918,1.873837560415268,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S04,default,,7,1.912096731364727
10.0,1934,1928,21.26458554714918,1.8725924342870712,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S05,default,,7,1.9104159325361252
10.0,1934,1928,21.26458554714918,1.8633399456739426,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S06,default,,7,1.9016621708869934
10.0,1934,1928,21.26458554714918,1.8681062683463097,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S07,default,,7,1.906860075891018
10.0,1934,1928,21.26458554714918,1.8840834721922874,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S08,default,,7,1.9229698106646538
10.0,1934,1928,21.26458554714918,1.8959126770496368,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S09,default,,7,1.9354897513985634
10.0,1934,1928,21.26458554714918,1.8568177595734596,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S10,default,,7,1.894335813820362
10.0,1934,1928,21.26458554714918,1.8634788990020752,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S11,default,,7,1.9010557904839516
10.0,1934,1928,21.26458554714918,1.8609006702899933,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S12,default,,7,1.8983706459403038
10.0,1934,1928,21.26458554714918,1.8628950342535973,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S13,default,,7,1.900631196796894
10.0,1934,1928,21.26458554714918,1.8692805543541908,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S14,default,,7,1.907711699604988
10.0,1934,1928,21.26458554714918,1.8716439381241798,182,112,0.34674922600619196,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S15,default,,7,1.9100707918405533
10.0,1934,1928,21.26458554714918,2.996660329401493,287,168,0.5201238390092879,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S16,default,,7,3.152843251824379
10.0,1934,1928,21.26458554714918,4.387735567986965,452,281,0.8699690402476781,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S17,default,,7,4.682078592479229
10.0,1934,1928,21.26458554714918,2.056780658662319,210,127,0.3931888544891641,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S18,default,,7,2.116832196712494
10.0,1934,1928,21.26458554714918,1.4132393077015877,135,63,0.19504643962848298,False,6,6,5,P_mid,transition_graph_empty,0.05,8,0.07237417172157597,S19,default,,7,1.4439412504434586
10.0,1820,1810,24.627622596919537,0.8280091434717178,80,16,0.04953560371517028,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S00,default,,7,0.8627347722649574
10.0,1820,1810,24.627622596919537,1.548212707042694,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S01,default,,7,1.5987499356269836
10.0,1820,1810,24.627622596919537,1.5444929376244545,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S02,default,,7,1.5722293257713318
10.0,1820,1810,24.627622596919537,1.3178763017058372,126,28,0.08668730650154799,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S03,default,,7,1.3424462974071503
10.0,1820,1810,24.627622596919537,1.3256922140717506,126,28,0.08668730650154799,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S04,default,,7,1.3486014753580093
10.0,1820,1810,24.627622596919537,1.5336937606334686,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S05,default,,7,1.5615551993250847
